demo_county_name,tx_media_region
anderson,North Texas
cameron,South Texas
concho,West Texas
coryell,South Texas
denton,North Texas
ellis,North Texas
freestone,North Texas
goliad,West Texas
hopkins,North Texas
jeff davis,West Texas
liberty,East Texas
mclennan,South Texas
mcmullen,West Texas
montgomery,East Texas
newton,East Texas
parmer,West Texas
rains,North Texas
smith,East Texas
tom green,West Texas
upton,West Texas
wilbarger,North Texas
austin,East Texas
cherokee,East Texas
coke,West Texas
collingsworth,West Texas
dickens,West Texas
donley,West Texas
frio,West Texas
gray,West Texas
gregg,East Texas
hale,West Texas
hall,West Texas
hidalgo,South Texas
kaufman,North Texas
limestone,South Texas
mills,South Texas
refugio,South Texas
shackelford,West Texas
swisher,West Texas
victoria,South Texas
williamson,South Texas
wilson,West Texas
andrews,West Texas
armstrong,West Texas
bandera,West Texas
caldwell,South Texas
cass,East Texas
castro,West Texas
edwards,West Texas
franklin,East Texas
garza,West Texas
glasscock,West Texas
hardin,East Texas
jim wells,South Texas
kendall,West Texas
kleberg,South Texas
lamb,West Texas
loving,West Texas
maverick,West Texas
navarro,North Texas
runnels,West Texas
tarrant,North Texas
taylor,West Texas
throckmorton,West Texas
atascosa,West Texas
brazos,South Texas
brooks,South Texas
comanche,North Texas
duval,South Texas
fisher,West Texas
foard,North Texas
grayson,North Texas
grimes,South Texas
hartley,West Texas
hays,South Texas
henderson,North Texas
leon,South Texas
live oak,South Texas
mcculloch,West Texas
mitchell,West Texas
ochiltree,West Texas
polk,East Texas
san augustine,East Texas
walker,East Texas
wise,North Texas
wood,East Texas
angelina,East Texas
baylor,North Texas
bosque,North Texas
bowie,East Texas
brewster,West Texas
burnet,South Texas
camp,East Texas
cochran,West Texas
ector,West Texas
fannin,North Texas
fort bend,East Texas
gaines,West Texas
harrison,East Texas
houston,East Texas
jackson,East Texas
jasper,East Texas
kent,West Texas
kinney,West Texas
llano,South Texas
madison,South Texas
pecos,West Texas
randall,West Texas
roberts,West Texas
rusk,East Texas
terry,West Texas
ward,West Texas
willacy,South Texas
young,North Texas
archer,North Texas
bexar,West Texas
brazoria,East Texas
brown,West Texas
carson,West Texas
coleman,West Texas
collin,North Texas
colorado,East Texas
comal,West Texas
el paso,West Texas
gillespie,South Texas
johnson,North Texas
kenedy,South Texas
kimble,West Texas
lampasas,South Texas
mason,South Texas
midland,West Texas
moore,West Texas
motley,West Texas
nolan,West Texas
palo pinto,North Texas
parker,North Texas
real,West Texas
red river,North Texas
tyler,East Texas
val verde,West Texas
winkler,West Texas
zavala,West Texas
bastrop,South Texas
callahan,West Texas
clay,North Texas
crane,West Texas
crockett,West Texas
dawson,West Texas
delta,North Texas
floyd,West Texas
hamilton,North Texas
haskell,West Texas
hockley,West Texas
irion,West Texas
jones,West Texas
karnes,West Texas
kerr,West Texas
la salle,West Texas
medina,West Texas
milam,South Texas
montague,North Texas
presidio,West Texas
sabine,East Texas
san saba,South Texas
shelby,East Texas
sterling,West Texas
titus,East Texas
travis,South Texas
unknown,North Texas
aransas,South Texas
borden,West Texas
briscoe,West Texas
calhoun,East Texas
cooke,North Texas
cottle,West Texas
dewitt,West Texas
hansford,West Texas
hardeman,North Texas
harris,East Texas
hill,North Texas
hutchinson,West Texas
jim hogg,South Texas
knox,West Texas
lamar,North Texas
lee,South Texas
matagorda,East Texas
menard,West Texas
morris,East Texas
oldham,West Texas
potter,West Texas
reagan,West Texas
reeves,West Texas
robertson,South Texas
schleicher,West Texas
scurry,West Texas
sutton,West Texas
trinity,East Texas
upshur,East Texas
van zandt,North Texas
waller,East Texas
washington,East Texas
webb,West Texas
wheeler,West Texas
zapata,West Texas
burleson,South Texas
childress,West Texas
crosby,West Texas
dallam,West Texas
deaf smith,West Texas
eastland,West Texas
guadalupe,West Texas
hudspeth,West Texas
jefferson,East Texas
king,North Texas
lipscomb,West Texas
lubbock,West Texas
nueces,South Texas
sherman,West Texas
somervell,North Texas
stephens,West Texas
stonewall,West Texas
bailey,West Texas
bee,South Texas
bell,South Texas
blanco,South Texas
chambers,East Texas
culberson,West Texas
dallas,North Texas
dimmit,West Texas
erath,North Texas
falls,South Texas
fayette,South Texas
galveston,East Texas
gonzales,West Texas
hemphill,West Texas
hood,North Texas
howard,West Texas
hunt,North Texas
jack,North Texas
lavaca,West Texas
lynn,West Texas
marion,East Texas
martin,West Texas
nacogdoches,East Texas
orange,East Texas
panola,East Texas
rockwall,North Texas
san jacinto,East Texas
san patricio,South Texas
starr,South Texas
terrell,West Texas
uvalde,West Texas
wharton,East Texas
wichita,North Texas
yoakum,West Texas
